County,Year,Age (<4YO),Gender (M),White,African,Asian,Hispanic,Other,Rate (per 10k),Rate predict
Alameda,2013,1,0,0,0,1,0,0,39.55,68.1673333333
Alameda,2013,1,1,0,0,1,0,0,85.71,99.4936666667
Alameda,2013,0,0,0,0,1,0,0,18.5,35.2019
Alameda,2013,0,1,0,0,1,0,0,27.61,41.8056666667
Alameda,2013,1,0,0,0,0,1,0,101.37,68.1673333333
Alameda,2013,1,1,0,0,0,1,0,188.71,99.4936666667
Alameda,2013,0,0,0,0,0,1,0,60.73,35.2019
Alameda,2013,0,1,0,0,0,1,0,86.11,41.8056666667
Alameda,2013,1,0,0,0,0,0,1,231.3,223.970133333
Alameda,2013,1,1,0,0,0,0,1,344.91,344.395277778
Alameda,2013,0,0,0,0,0,0,1,102.71,115.668866667
Alameda,2013,0,1,0,0,0,0,1,136.36,157.925388889
Alameda,2013,1,0,1,0,0,0,0,38.15,68.1673333333
Alameda,2013,1,1,1,0,0,0,0,74.56,99.4936666667
Alameda,2013,0,0,1,0,0,0,0,33.43,35.2019
Alameda,2013,0,1,1,0,0,0,0,45.07,41.8056666667
Alameda,2014,1,0,0,1,0,0,0,329.94,299.221777778
Alameda,2014,1,1,0,1,0,0,0,596.67,618.332822222
Alameda,2014,0,0,0,1,0,0,0,223.52,225.082222222
Alameda,2014,0,1,0,1,0,0,0,304.49,254.442055556
Alameda,2014,1,0,0,0,1,0,0,39.63,39.2032222222
Alameda,2014,1,1,0,0,1,0,0,74.65,116.838555556
Alameda,2014,0,0,0,0,1,0,0,17.94,37.3447
Alameda,2014,0,1,0,0,1,0,0,31.88,61.1625333333
Alameda,2014,1,0,0,0,0,1,0,94.97,39.2032222222
Alameda,2014,1,1,0,0,0,1,0,196.55,116.838555556
Alameda,2014,0,0,0,0,0,1,0,70.25,37.3447
Alameda,2014,0,1,0,0,0,1,0,101.44,61.1625333333
Alameda,2014,1,0,0,0,0,0,1,185.09,197.256288889
Alameda,2014,1,1,0,0,0,0,1,422.13,371.863477778
Alameda,2014,0,0,0,0,0,0,1,123.04,134.196655556
Alameda,2014,0,1,0,0,0,0,1,170.9,181.344022222
Alameda,2014,1,0,1,0,0,0,0,37.28,39.2032222222
Alameda,2014,1,1,1,0,0,0,0,67.38,116.838555556
Alameda,2014,0,0,1,0,0,0,0,25.59,37.3447
Alameda,2014,0,1,1,0,0,0,0,39.69,61.1625333333
Amador,2005,0,1,1,0,0,0,0,78.88,88.1193936508
Amador,2006,0,0,1,0,0,0,0,79.0,81.8018888889
Amador,2006,0,1,1,0,0,0,0,68.12,82.7129047619
Amador,2009,0,0,1,0,0,0,0,87.55,86.7486444444
Amador,2009,0,1,1,0,0,0,0,80.85,108.345904762
Amador,2010,0,1,1,0,0,0,0,106.36,104.899238095
Amador,2011,0,0,1,0,0,0,0,90.37,88.9262444444
Amador,2011,0,1,1,0,0,0,0,120.85,107.962615873
Amador,2012,0,0,1,0,0,0,0,77.73,91.3388666667
Amador,2012,0,1,1,0,0,0,0,144.07,123.355777778
Amador,2013,0,0,1,0,0,0,0,139.16,106.699511111
Amador,2013,0,1,1,0,0,0,0,113.76,110.176571429
Amador,2014,0,0,1,0,0,0,0,107.87,104.312733333
Amador,2014,0,1,1,0,0,0,0,87.21,110.665555556
Butte,2005,1,1,0,0,0,1,0,110.13,135.253055556
Butte,2005,0,1,0,0,0,1,0,35.5,48.7343333333
Butte,2005,1,0,1,0,0,0,0,48.56,61.1653666667
Butte,2005,1,1,1,0,0,0,0,138.06,135.253055556
Butte,2005,0,0,1,0,0,0,0,29.23,40.0771666667
Butte,2005,0,1,1,0,0,0,0,54.43,48.7343333333
Butte,2006,1,0,1,0,0,0,0,61.73,62.2572555556
Butte,2006,1,1,1,0,0,0,0,115.33,115.199722222
Butte,2006,0,0,1,0,0,0,0,20.73,45.0323333333
Butte,2006,0,1,1,0,0,0,0,39.78,45.8983333333
Butte,2007,1,0,1,0,0,0,0,34.61,57.6031555556
Butte,2007,1,1,1,0,0,0,0,106.55,118.716126984
Butte,2007,0,0,1,0,0,0,0,32.66,39.0262222222
Butte,2007,0,1,1,0,0,0,0,48.68,48.0714444444
Butte,2008,1,0,1,0,0,0,0,74.53,72.1314666667
Butte,2008,1,1,1,0,0,0,0,112.36,124.83368254
Butte,2008,0,0,1,0,0,0,0,21.88,37.9644888889
Butte,2008,0,1,1,0,0,0,0,45.24,45.7256666667
Butte,2009,1,1,0,1,0,0,0,1165.05,1028.6526
Butte,2009,1,1,0,0,0,1,0,97.78,109.477344444
Butte,2009,1,0,1,0,0,0,0,60.84,66.8477
Butte,2009,1,1,1,0,0,0,0,126.83,109.477344444
Butte,2009,0,0,1,0,0,0,0,55.32,54.7471
Butte,2009,0,1,1,0,0,0,0,53.59,58.3815666667
Butte,2010,0,1,0,1,0,0,0,455.77,427.765977778
Butte,2010,1,0,0,0,0,1,0,81.35,76.4512
Butte,2010,1,1,0,0,0,1,0,94.46,136.817622222
Butte,2010,0,1,0,0,0,1,0,66.35,62.2840555556
Butte,2010,1,0,1,0,0,0,0,99.04,76.4512
Butte,2010,1,1,1,0,0,0,0,187.79,136.817622222
Butte,2010,0,0,1,0,0,0,0,65.5,46.9533888889
Butte,2010,0,1,1,0,0,0,0,60.24,62.2840555556
Butte,2011,1,0,0,0,0,1,0,145.02,81.1472444444
Butte,2011,1,1,0,0,0,1,0,112.43,111.757366667
Butte,2011,0,1,0,0,0,1,0,50.15,54.2844444444
Butte,2011,1,0,1,0,0,0,0,86.71,81.1472444444
Butte,2011,1,1,1,0,0,0,0,136.69,111.757366667
Butte,2011,0,0,1,0,0,0,0,48.11,50.5607936508
Butte,2011,0,1,1,0,0,0,0,60.19,54.2844444444
Butte,2012,1,1,0,0,0,1,0,105.86,118.241844444
Butte,2012,1,0,1,0,0,0,0,94.83,77.5175
Butte,2012,1,1,1,0,0,0,0,124.93,118.241844444
Butte,2012,0,0,1,0,0,0,0,47.6,50.5479444444
Butte,2012,0,1,1,0,0,0,0,53.22,55.9990111111
Butte,2013,1,1,0,0,0,1,0,116.55,132.489793651
Butte,2013,0,0,0,0,0,1,0,34.84,46.6383333333
Butte,2013,0,1,0,0,0,1,0,27.42,43.0113333333
Butte,2013,1,0,1,0,0,0,0,78.6,77.8150777778
Butte,2013,1,1,1,0,0,0,0,146.18,132.489793651
Butte,2013,0,0,1,0,0,0,0,59.1,46.6383333333
Butte,2013,0,1,1,0,0,0,0,58.34,43.0113333333
Butte,2014,0,1,0,1,0,0,0,479.26,372.283055556
Butte,2014,1,1,0,0,0,1,0,160.61,144.911777778
Butte,2014,0,1,0,0,0,1,0,49.15,54.74
Butte,2014,1,0,1,0,0,0,0,70.65,70.0725555556
Butte,2014,1,1,1,0,0,0,0,133.26,144.911777778
Butte,2014,0,0,1,0,0,0,0,63.68,61.2111111111
Butte,2014,0,1,1,0,0,0,0,58.95,54.74
Calaveras,2005,0,0,1,0,0,0,0,53.85,61.6978444444
Calaveras,2005,0,1,1,0,0,0,0,54.63,57.2948
Calaveras,2006,0,1,1,0,0,0,0,56.42,61.1348555556
Calaveras,2007,0,1,1,0,0,0,0,65.1,67.8028111111
Calaveras,2008,0,0,1,0,0,0,0,46.64,68.7326793651
Calaveras,2008,0,1,1,0,0,0,0,78.9,79.0099222222
Calaveras,2010,1,1,1,0,0,0,0,192.04,219.893077778
Calaveras,2010,0,1,1,0,0,0,0,84.97,89.4521777778
Calaveras,2011,1,1,1,0,0,0,0,265.73,227.505322222
Calaveras,2011,0,0,1,0,0,0,0,66.19,58.0562666667
Calaveras,2011,0,1,1,0,0,0,0,61.54,70.0949666667
Calaveras,2013,0,0,1,0,0,0,0,57.82,64.4878222222
Calaveras,2013,0,1,1,0,0,0,0,113.2,103.169088889
Calaveras,2014,1,1,1,0,0,0,0,194.03,211.385655556
Calaveras,2014,0,0,1,0,0,0,0,83.13,75.6936
Calaveras,2014,0,1,1,0,0,0,0,86.79,85.5557777778
Colusa,2008,0,1,0,0,0,1,0,78.51,79.8967777778
Colusa,2009,0,1,0,0,0,1,0,82.84,81.3252666667
Colusa,2014,0,1,0,0,0,1,0,72.76,76.7772444444
Contra Costa,2005,1,0,0,1,0,0,0,314.17,305.078577778
Contra Costa,2005,1,1,0,1,0,0,0,515.4,497.381566667
Contra Costa,2005,0,0,0,1,0,0,0,150.45,177.636755556
Contra Costa,2005,0,1,0,1,0,0,0,202.88,230.589611111
Contra Costa,2005,1,0,0,0,1,0,0,80.37,76.1210777778
Contra Costa,2005,1,1,0,0,1,0,0,111.06,116.603177778
Contra Costa,2005,0,1,0,0,1,0,0,27.05,44.1850333333
Contra Costa,2005,1,0,0,0,0,1,0,80.54,76.1210777778
Contra Costa,2005,1,1,0,0,0,1,0,137.96,116.603177778
Contra Costa,2005,0,0,0,0,0,1,0,54.72,43.1832
Contra Costa,2005,0,1,0,0,0,1,0,55.72,44.1850333333
Contra Costa,2005,1,0,0,0,0,0,1,183.98,183.817766667
Contra Costa,2005,1,1,0,0,0,0,1,413.13,362.283777778
Contra Costa,2005,0,0,0,0,0,0,1,193.5,112.6908
Contra Costa,2005,0,1,0,0,0,0,1,365.45,141.264088889
Contra Costa,2005,1,0,1,0,0,0,0,53.55,76.1210777778
Contra Costa,2005,1,1,1,0,0,0,0,100.89,116.603177778
Contra Costa,2005,0,0,1,0,0,0,0,30.96,43.1832
Contra Costa,2005,0,1,1,0,0,0,0,37.4,44.1850333333
Contra Costa,2006,1,0,0,1,0,0,0,266.89,287.677644444
Contra Costa,2006,1,1,0,1,0,0,0,532.72,513.782788889
Contra Costa,2006,0,0,0,1,0,0,0,174.45,178.746133333
Contra Costa,2006,0,1,0,1,0,0,0,269.69,263.676388889
Contra Costa,2006,1,0,0,0,1,0,0,59.88,65.4565333333
Contra Costa,2006,1,1,0,0,1,0,0,60.73,96.8428888889
Contra Costa,2006,0,0,0,0,1,0,0,17.87,37.6382698413
Contra Costa,2006,0,1,0,0,1,0,0,32.54,51.3617468254
Contra Costa,2006,1,0,0,0,0,1,0,72.79,65.4565333333
Contra Costa,2006,1,1,0,0,0,1,0,157.67,96.8428888889
Contra Costa,2006,0,0,0,0,0,1,0,43.6,37.6382698413
Contra Costa,2006,0,1,0,0,0,1,0,70.31,51.3617468254
Contra Costa,2006,1,0,0,0,0,0,1,142.75,128.084977778
Contra Costa,2006,1,1,0,0,0,0,1,311.81,253.548766667
Contra Costa,2006,0,0,0,0,0,0,1,106.28,102.563222222
Contra Costa,2006,0,1,0,0,0,0,1,240.98,186.432888889
Contra Costa,2006,1,0,1,0,0,0,0,66.3,65.4565333333
Contra Costa,2006,1,1,1,0,0,0,0,117.92,96.8428888889
Contra Costa,2006,0,0,1,0,0,0,0,40.27,37.6382698413
Contra Costa,2006,0,1,1,0,0,0,0,58.03,51.3617468254
Contra Costa,2007,1,0,0,1,0,0,0,324.65,301.452733333
Contra Costa,2007,1,1,0,1,0,0,0,549.16,520.6224
Contra Costa,2007,0,0,0,1,0,0,0,176.81,196.441444444
Contra Costa,2007,0,1,0,1,0,0,0,214.65,240.546166667
Contra Costa,2007,1,0,0,0,1,0,0,47.72,61.137384127
Contra Costa,2007,1,1,0,0,1,0,0,70.15,101.683055556
Contra Costa,2007,0,0,0,0,1,0,0,17.42,36.8361111111
Contra Costa,2007,0,1,0,0,1,0,0,16.26,43.3563333333
Contra Costa,2007,1,0,0,0,0,1,0,77.86,61.137384127
Contra Costa,2007,1,1,0,0,0,1,0,153.52,101.683055556
Contra Costa,2007,0,0,0,0,0,1,0,37.74,36.8361111111
Contra Costa,2007,0,1,0,0,0,1,0,66.39,43.3563333333
Contra Costa,2007,1,0,0,0,0,0,1,95.75,105.012722222
Contra Costa,2007,1,1,0,0,0,0,1,264.66,263.076055556
Contra Costa,2007,0,0,0,0,0,0,1,83.16,76.6156888889
Contra Costa,2007,0,1,0,0,0,0,1,103.34,111.588555556
Contra Costa,2007,1,0,1,0,0,0,0,54.61,61.137384127
Contra Costa,2007,1,1,1,0,0,0,0,112.02,101.683055556
Contra Costa,2007,0,0,1,0,0,0,0,30.31,36.8361111111
Contra Costa,2007,0,1,1,0,0,0,0,35.75,43.3563333333
Contra Costa,2008,1,0,0,1,0,0,0,292.04,300.512444444
Contra Costa,2008,1,1,0,1,0,0,0,548.08,542.245166667
Contra Costa,2008,0,0,0,1,0,0,0,188.78,192.867
Contra Costa,2008,0,1,0,1,0,0,0,243.17,255.935855556
Contra Costa,2008,1,0,0,0,1,0,0,36.95,55.9553142857
Contra Costa,2008,1,1,0,0,1,0,0,110.28,147.827666667
Contra Costa,2008,0,0,0,0,1,0,0,18.51,28.0854333333
Contra Costa,2008,0,1,0,0,1,0,0,24.04,40.3104444444
Contra Costa,2008,1,0,0,0,0,1,0,76.39,55.9553142857
Contra Costa,2008,1,1,0,0,0,1,0,187.67,147.827666667
Contra Costa,2008,0,0,0,0,0,1,0,50.95,28.0854333333
Contra Costa,2008,0,1,0,0,0,1,0,79.88,40.3104444444
Contra Costa,2008,1,0,0,0,0,0,1,114.72,112.649977778
Contra Costa,2008,1,1,0,0,0,0,1,218.93,207.191322222
Contra Costa,2008,0,0,0,0,0,0,1,98.47,98.2568888889
Contra Costa,2008,0,1,0,0,0,0,1,100.12,114.769688889
Contra Costa,2008,1,0,1,0,0,0,0,64.75,55.9553142857
Contra Costa,2008,1,1,1,0,0,0,0,117.6,147.827666667
Contra Costa,2008,0,0,1,0,0,0,0,39.52,28.0854333333
Contra Costa,2008,0,1,1,0,0,0,0,39.73,40.3104444444
Contra Costa,2009,1,0,0,1,0,0,0,320.62,305.326466667
Contra Costa,2009,1,1,0,1,0,0,0,608.93,525.575066667
Contra Costa,2009,0,0,0,1,0,0,0,189.33,197.610355556
Contra Costa,2009,0,1,0,1,0,0,0,293.31,278.910633333
Contra Costa,2009,1,0,0,0,1,0,0,57.76,74.0951619048
Contra Costa,2009,1,1,0,0,1,0,0,107.77,124.968555556
Contra Costa,2009,0,0,0,0,1,0,0,20.28,41.0534587302
Contra Costa,2009,0,1,0,0,1,0,0,35.73,56.9619444444
Contra Costa,2009,1,0,0,0,0,1,0,95.18,74.0951619048
Contra Costa,2009,1,1,0,0,0,1,0,181.21,124.968555556
Contra Costa,2009,0,0,0,0,0,1,0,58.93,41.0534587302
Contra Costa,2009,0,1,0,0,0,1,0,100.26,56.9619444444
Contra Costa,2009,1,0,0,0,0,0,1,142.14,131.6475
Contra Costa,2009,1,1,0,0,0,0,1,294.97,287.4126
Contra Costa,2009,0,0,0,0,0,0,1,82.74,83.9261333333
Contra Costa,2009,0,1,0,0,0,0,1,124.91,138.564777778
Contra Costa,2009,1,0,1,0,0,0,0,76.45,74.0951619048
Contra Costa,2009,1,1,1,0,0,0,0,130.2,124.968555556
Contra Costa,2009,0,0,1,0,0,0,0,41.24,41.0534587302
Contra Costa,2009,0,1,1,0,0,0,0,50.07,56.9619444444
Contra Costa,2010,1,0,0,1,0,0,0,275.26,293.856577778
Contra Costa,2010,1,1,0,1,0,0,0,649.88,571.137644444
Contra Costa,2010,0,0,0,1,0,0,0,214.24,219.399166667
Contra Costa,2010,0,1,0,1,0,0,0,264.58,278.554611111
Contra Costa,2010,1,1,0,0,1,0,0,101.41,131.727044444
Contra Costa,2010,0,0,0,0,1,0,0,16.9,50.5132
Contra Costa,2010,0,1,0,0,1,0,0,40.12,65.8897777778
Contra Costa,2010,1,0,0,0,0,1,0,104.06,87.3145555556
Contra Costa,2010,1,1,0,0,0,1,0,169.44,131.727044444
Contra Costa,2010,0,0,0,0,0,1,0,63.7,50.5132
Contra Costa,2010,0,1,0,0,0,1,0,104.38,65.8897777778
Contra Costa,2010,1,0,0,0,0,0,1,85.95,90.2963333333
Contra Costa,2010,1,1,0,0,0,0,1,255.57,258.786155556
Contra Costa,2010,0,0,0,0,0,0,1,69.99,75.9327444444
Contra Costa,2010,0,1,0,0,0,0,1,110.03,109.947888889
Contra Costa,2010,1,0,1,0,0,0,0,76.92,87.3145555556
Contra Costa,2010,1,1,1,0,0,0,0,122.05,131.727044444
Contra Costa,2010,0,0,1,0,0,0,0,43.62,50.5132
Contra Costa,2010,0,1,1,0,0,0,0,61.86,65.8897777778
Contra Costa,2011,1,0,0,1,0,0,0,268.29,288.873568254
Contra Costa,2011,1,1,0,1,0,0,0,454.23,509.895511111
Contra Costa,2011,0,0,0,1,0,0,0,227.36,218.627555556
Contra Costa,2011,0,1,0,1,0,0,0,287.83,270.253722222
Contra Costa,2011,1,0,0,0,1,0,0,50.05,66.8071238095
Contra Costa,2011,1,1,0,0,1,0,0,130.88,124.905111111
Contra Costa,2011,0,0,0,0,1,0,0,20.97,42.2211095238
Contra Costa,2011,0,1,0,0,1,0,0,38.95,45.2135
Contra Costa,2011,1,0,0,0,0,1,0,76.29,66.8071238095
Contra Costa,2011,1,1,0,0,0,1,0,174.47,124.905111111
Contra Costa,2011,0,0,0,0,0,1,0,62.88,42.2211095238
Contra Costa,2011,0,1,0,0,0,1,0,106.28,45.2135
Contra Costa,2011,1,0,0,0,0,0,1,83.18,104.175055556
Contra Costa,2011,1,1,0,0,0,0,1,177.32,223.617055556
