County,Year,Rate (per 10k)
Alameda,2010,37.31
Alameda,2010,53.83
Alameda,2011,217.06
Alameda,2011,353.47
Alameda,2011,136.21
Alameda,2011,183.85
Alameda,2011,45.41
Alameda,2011,87.56
Alameda,2011,15.7
Alameda,2011,29.78
Alameda,2011,72.53
Alameda,2011,139.12
Alameda,2011,42.57
Alameda,2011,61.52
Alameda,2011,122.29
Alameda,2011,298.76
Alameda,2011,101.97
Alameda,2011,129.21
Alameda,2011,49.94
Alameda,2011,66.33
Alameda,2011,38.37
Alameda,2011,59.36
Alameda,2012,260.04
Alameda,2012,449.87
Alameda,2012,150.11
Alameda,2012,233.43
Alameda,2012,30.53
Alameda,2012,77.05
Alameda,2012,17.88
Alameda,2012,28.8
Alameda,2012,76.46
Alameda,2012,159.48
Alameda,2012,51.72
Alameda,2012,78.84
Alameda,2012,156.13
Alameda,2012,354.39
Alameda,2012,87.75
Alameda,2012,112.31
Alameda,2012,55.12
Alameda,2012,93.5
Alameda,2012,40.13
Alameda,2012,48.67
Alameda,2013,305.75
Alameda,2013,495.09
Alameda,2013,186.46
Alameda,2013,266.0
Alameda,2013,39.55
Alameda,2013,85.71
Alameda,2013,18.5
Alameda,2013,27.61
Alameda,2013,101.37
Alameda,2013,188.71
Alameda,2013,60.73
Alameda,2013,86.11
Alameda,2013,231.3
Alameda,2013,344.91
Alameda,2013,102.71
Alameda,2013,136.36
Alameda,2013,38.15
Alameda,2013,74.56
Alameda,2013,33.43
Alameda,2013,45.07
Alameda,2014,329.94
Alameda,2014,596.67
Alameda,2014,223.52
Alameda,2014,304.49
Alameda,2014,39.63
Alameda,2014,74.65
Alameda,2014,17.94
Alameda,2014,31.88
Alameda,2014,94.97
Alameda,2014,196.55
Alameda,2014,70.25
Alameda,2014,101.44
Alameda,2014,185.09
Alameda,2014,422.13
Alameda,2014,123.04
Alameda,2014,170.9
Alameda,2014,37.28
Alameda,2014,67.38
Alameda,2014,25.59
Alameda,2014,39.69
Amador,2005,78.88
Amador,2006,79.0
Amador,2006,68.12
Amador,2009,87.55
Amador,2009,80.85
Amador,2010,106.36
Amador,2011,90.37
Amador,2011,120.85
Amador,2012,77.73
Amador,2012,144.07
Amador,2013,139.16
Amador,2013,113.76
Amador,2014,107.87
Amador,2014,87.21
Butte,2005,110.13
Butte,2005,35.5
Butte,2005,48.56
Butte,2005,138.06
Butte,2005,29.23
Butte,2005,54.43
Butte,2006,61.73
Butte,2006,115.33
Butte,2006,20.73
Butte,2006,39.78
Butte,2007,34.61
Butte,2007,106.55
Butte,2007,32.66
Butte,2007,48.68
Butte,2008,74.53
Butte,2008,112.36
Butte,2008,21.88
Butte,2008,45.24
Butte,2009,1165.05
Butte,2009,97.78
Butte,2009,60.84
Butte,2009,126.83
Butte,2009,55.32
Butte,2009,53.59
Butte,2010,455.77
Butte,2010,81.35
Butte,2010,94.46
Butte,2010,66.35
Butte,2010,99.04
Butte,2010,187.79
Butte,2010,65.5
Butte,2010,60.24
Butte,2011,145.02
Butte,2011,112.43
Butte,2011,50.15
Butte,2011,86.71
Butte,2011,136.69
Butte,2011,48.11
Butte,2011,60.19
Butte,2012,105.86
Butte,2012,94.83
Butte,2012,124.93
Butte,2012,47.6
Butte,2012,53.22
Butte,2013,116.55
Butte,2013,34.84
Butte,2013,27.42
Butte,2013,78.6
Butte,2013,146.18
Butte,2013,59.1
Butte,2013,58.34
Butte,2014,479.26
Butte,2014,160.61
Butte,2014,49.15
Butte,2014,70.65
Butte,2014,133.26
Butte,2014,63.68
Butte,2014,58.95
Calaveras,2005,53.85
Calaveras,2005,54.63
Calaveras,2006,56.42
Calaveras,2007,65.1
Calaveras,2008,46.64
Calaveras,2008,78.9
Calaveras,2010,192.04
Calaveras,2010,84.97
Calaveras,2011,265.73
Calaveras,2011,66.19
Calaveras,2011,61.54
Calaveras,2013,57.82
Calaveras,2013,113.2
Calaveras,2014,194.03
Calaveras,2014,83.13
Calaveras,2014,86.79
Colusa,2008,78.51
Colusa,2009,82.84
Colusa,2014,72.76
Contra Costa,2005,314.17
Contra Costa,2005,515.4
Contra Costa,2005,150.45
Contra Costa,2005,202.88
Contra Costa,2005,80.37
Contra Costa,2005,111.06
Contra Costa,2005,27.05
Contra Costa,2005,80.54
Contra Costa,2005,137.96
Contra Costa,2005,54.72
Contra Costa,2005,55.72
Contra Costa,2005,183.98
Contra Costa,2005,413.13
Contra Costa,2005,193.5
Contra Costa,2005,365.45
Contra Costa,2005,53.55
Contra Costa,2005,100.89
Contra Costa,2005,30.96
Contra Costa,2005,37.4
Contra Costa,2006,266.89
Contra Costa,2006,532.72
Contra Costa,2006,174.45
Contra Costa,2006,269.69
Contra Costa,2006,59.88
Contra Costa,2006,60.73
Contra Costa,2006,17.87
Contra Costa,2006,32.54
Contra Costa,2006,72.79
Contra Costa,2006,157.67
Contra Costa,2006,43.6
Contra Costa,2006,70.31
Contra Costa,2006,142.75
Contra Costa,2006,311.81
Contra Costa,2006,106.28
Contra Costa,2006,240.98
Contra Costa,2006,66.3
Contra Costa,2006,117.92
Contra Costa,2006,40.27
Contra Costa,2006,58.03
Contra Costa,2007,324.65
Contra Costa,2007,549.16
Contra Costa,2007,176.81
Contra Costa,2007,214.65
Contra Costa,2007,47.72
Contra Costa,2007,70.15
Contra Costa,2007,17.42
Contra Costa,2007,16.26
Contra Costa,2007,77.86
Contra Costa,2007,153.52
Contra Costa,2007,37.74
Contra Costa,2007,66.39
Contra Costa,2007,95.75
Contra Costa,2007,264.66
Contra Costa,2007,83.16
Contra Costa,2007,103.34
Contra Costa,2007,54.61
Contra Costa,2007,112.02
Contra Costa,2007,30.31
Contra Costa,2007,35.75
Contra Costa,2008,292.04
Contra Costa,2008,548.08
Contra Costa,2008,188.78
Contra Costa,2008,243.17
Contra Costa,2008,36.95
Contra Costa,2008,110.28
Contra Costa,2008,18.51
Contra Costa,2008,24.04
Contra Costa,2008,76.39
Contra Costa,2008,187.67
Contra Costa,2008,50.95
Contra Costa,2008,79.88
Contra Costa,2008,114.72
Contra Costa,2008,218.93
Contra Costa,2008,98.47
Contra Costa,2008,100.12
Contra Costa,2008,64.75
Contra Costa,2008,117.6
Contra Costa,2008,39.52
Contra Costa,2008,39.73
Contra Costa,2009,320.62
Contra Costa,2009,608.93
Contra Costa,2009,189.33
Contra Costa,2009,293.31
Contra Costa,2009,57.76
Contra Costa,2009,107.77
Contra Costa,2009,20.28
Contra Costa,2009,35.73
Contra Costa,2009,95.18
Contra Costa,2009,181.21
Contra Costa,2009,58.93
Contra Costa,2009,100.26
Contra Costa,2009,142.14
Contra Costa,2009,294.97
Contra Costa,2009,82.74
Contra Costa,2009,124.91
Contra Costa,2009,76.45
Contra Costa,2009,130.2
Contra Costa,2009,41.24
Contra Costa,2009,50.07
Contra Costa,2010,275.26
Contra Costa,2010,649.88
Contra Costa,2010,214.24
Contra Costa,2010,264.58
Contra Costa,2010,101.41
Contra Costa,2010,16.9
Contra Costa,2010,40.12
Contra Costa,2010,104.06
Contra Costa,2010,169.44
Contra Costa,2010,63.7
Contra Costa,2010,104.38
Contra Costa,2010,85.95
Contra Costa,2010,255.57
Contra Costa,2010,69.99
Contra Costa,2010,110.03
Contra Costa,2010,76.92
Contra Costa,2010,122.05
Contra Costa,2010,43.62
Contra Costa,2010,61.86
Contra Costa,2011,268.29
Contra Costa,2011,454.23
Contra Costa,2011,227.36
Contra Costa,2011,287.83
Contra Costa,2011,50.05
Contra Costa,2011,130.88
Contra Costa,2011,20.97
Contra Costa,2011,38.95
Contra Costa,2011,76.29
Contra Costa,2011,174.47
Contra Costa,2011,62.88
Contra Costa,2011,106.28
Contra Costa,2011,83.18
Contra Costa,2011,177.32
Contra Costa,2011,57.46
Contra Costa,2011,123.2
Contra Costa,2011,69.55
Contra Costa,2011,87.52
Contra Costa,2011,40.44
Contra Costa,2011,55.14
Contra Costa,2012,372.23
Contra Costa,2012,478.89
Contra Costa,2012,247.69
Contra Costa,2012,308.49
Contra Costa,2012,48.35
Contra Costa,2012,81.28
Contra Costa,2012,16.98
Contra Costa,2012,46.14
Contra Costa,2012,84.0
Contra Costa,2012,190.87
Contra Costa,2012,73.19
Contra Costa,2012,125.99
Contra Costa,2012,164.69
Contra Costa,2012,274.64
Contra Costa,2012,100.31
Contra Costa,2012,119.81
Contra Costa,2012,62.28
Contra Costa,2012,117.02
Contra Costa,2012,41.34
Contra Costa,2012,51.06
Contra Costa,2013,244.61
Contra Costa,2013,511.81
Contra Costa,2013,248.64
Contra Costa,2013,285.58
Contra Costa,2013,45.8
Contra Costa,2013,66.09
Contra Costa,2013,20.35
Contra Costa,2013,45.09
Contra Costa,2013,73.95
Contra Costa,2013,165.79
Contra Costa,2013,61.98
Contra Costa,2013,103.35
Contra Costa,2013,133.18
Contra Costa,2013,245.19
Contra Costa,2013,81.36
Contra Costa,2013,92.12
Contra Costa,2013,27.05
Contra Costa,2013,105.23
Contra Costa,2013,40.51
Contra Costa,2013,41.34
Contra Costa,2014,296.63
Contra Costa,2014,553.77
Contra Costa,2014,293.51
Contra Costa,2014,306.93
Contra Costa,2014,61.84
Contra Costa,2014,68.49
Contra Costa,2014,22.29
Contra Costa,2014,44.34
Contra Costa,2014,108.9
Contra Costa,2014,168.73
Contra Costa,2014,71.27
Contra Costa,2014,113.35
Contra Costa,2014,75.19
Contra Costa,2014,234.03
Contra Costa,2014,61.54
Contra Costa,2014,124.24
Contra Costa,2014,35.2
Contra Costa,2014,70.74
Contra Costa,2014,36.17
Contra Costa,2014,37.82
Del Norte,2005,409.09
Del Norte,2005,99.79
Del Norte,2005,87.49
Del Norte,2006,331.63
Del Norte,2006,268.46
Del Norte,2006,116.85
Del Norte,2007,285.71
Del Norte,2007,142.76
Del Norte,2009,113.04
Del Norte,2010,171.36
El Dorado,2005,51.39
El Dorado,2005,20.79
El Dorado,2005,50.02
El Dorado,2006,42.19
El Dorado,2006,53.89
El Dorado,2006,32.45
El Dorado,2006,40.68
El Dorado,2007,36.84
El Dorado,2007,73.03
El Dorado,2007,37.55
El Dorado,2007,37.67
El Dorado,2008,38.01
El Dorado,2008,79.69
El Dorado,2008,30.77
El Dorado,2008,38.05
El Dorado,2009,81.69
El Dorado,2009,32.42
El Dorado,2009,37.92
El Dorado,2010,42.53
El Dorado,2010,67.8
El Dorado,2010,34.5
El Dorado,2010,36.62
El Dorado,2011,39.63
El Dorado,2011,43.05
El Dorado,2011,56.03
El Dorado,2012,52.14
El Dorado,2012,55.02
El Dorado,2012,42.2
El Dorado,2012,44.44
El Dorado,2013,43.01
El Dorado,2013,37.91
El Dorado,2013,96.69
El Dorado,2013,23.26
El Dorado,2013,29.8
El Dorado,2014,46.69
El Dorado,2014,40.98
El Dorado,2014,211.19
El Dorado,2014,143.8
El Dorado,2014,81.44
El Dorado,2014,37.84
El Dorado,2014,47.67
Fresno,2005,257.01
Fresno,2005,505.74
Fresno,2005,174.33
Fresno,2005,213.25
Fresno,2005,65.94
Fresno,2005,64.0
Fresno,2005,13.05
Fresno,2005,18.95
Fresno,2005,122.62
Fresno,2005,239.28
Fresno,2005,47.06
Fresno,2005,73.52
Fresno,2005,189.19
Fresno,2005,292.29
Fresno,2005,131.7
Fresno,2005,202.29
Fresno,2005,117.18
Fresno,2005,184.46
Fresno,2005,67.78
Fresno,2005,81.2
Fresno,2006,230.77
Fresno,2006,543.08
Fresno,2006,176.95
Fresno,2006,198.98
Fresno,2006,95.69
Fresno,2006,113.44
Fresno,2006,16.6
Fresno,2006,25.18
Fresno,2006,147.52
Fresno,2006,267.32
Fresno,2006,52.99
Fresno,2006,81.99
Fresno,2006,161.15
Fresno,2006,406.44
Fresno,2006,79.37
Fresno,2006,144.55
Fresno,2006,90.96
Fresno,2006,178.71
Fresno,2006,53.89
Fresno,2006,79.05
Fresno,2007,389.61
Fresno,2007,671.92
Fresno,2007,149.27
Fresno,2007,178.69
Fresno,2007,55.85
Fresno,2007,131.2
Fresno,2007,16.17
Fresno,2007,21.98
Fresno,2007,144.67
Fresno,2007,308.9
Fresno,2007,62.01
Fresno,2007,82.4
Fresno,2007,213.64
Fresno,2007,458.33
Fresno,2007,56.06
Fresno,2007,92.65
Fresno,2007,92.29
Fresno,2007,213.2
Fresno,2007,48.72
Fresno,2007,78.94
Fresno,2008,345.23
Fresno,2008,629.55
Fresno,2008,158.04
Fresno,2008,219.33
Fresno,2008,72.38
Fresno,2008,126.05
Fresno,2008,20.4
Fresno,2008,161.63
Fresno,2008,283.26
Fresno,2008,58.99
Fresno,2008,86.47
Fresno,2008,256.82
Fresno,2008,439.74
Fresno,2008,68.97
Fresno,2008,125.66
Fresno,2008,113.5
Fresno,2008,213.45
Fresno,2008,46.05
Fresno,2008,81.46
Fresno,2009,371.45
Fresno,2009,553.52
Fresno,2009,175.57
Fresno,2009,236.45
Fresno,2009,75.8
Fresno,2009,206.16
Fresno,2009,12.81
Fresno,2009,37.78
Fresno,2009,134.42
Fresno,2009,268.96
Fresno,2009,67.49
Fresno,2009,87.86
Fresno,2009,517.24
Fresno,2009,1153.85
Fresno,2009,182.06
Fresno,2009,400.93
Fresno,2009,147.02
Fresno,2009,264.69
Fresno,2009,73.3
Fresno,2009,100.68
Fresno,2010,293.29
Fresno,2010,554.08
Fresno,2010,170.48
Fresno,2010,227.46
Fresno,2010,87.8
Fresno,2010,140.38
Fresno,2010,22.88
Fresno,2010,136.53
Fresno,2010,302.86
Fresno,2010,70.42
Fresno,2010,96.96
Fresno,2010,419.69
Fresno,2010,944.4
Fresno,2010,282.18
Fresno,2010,425.46
Fresno,2010,143.86
Fresno,2010,246.54
Fresno,2010,71.67
Fresno,2010,114.88
Fresno,2011,257.93
Fresno,2011,522.47
Fresno,2011,117.83
Fresno,2011,240.62
Fresno,2011,95.52
Fresno,2011,123.04
Fresno,2011,24.19
Fresno,2011,189.92
Fresno,2011,312.55
Fresno,2011,70.32
Fresno,2011,101.1
Fresno,2011,149.02
Fresno,2011,289.14
Fresno,2011,99.21
Fresno,2011,144.65
Fresno,2011,150.5
Fresno,2011,252.5
Fresno,2011,72.01
Fresno,2011,105.23
Fresno,2012,258.99
Fresno,2012,656.25
Fresno,2012,160.99
Fresno,2012,288.52
Fresno,2012,52.88
Fresno,2012,106.75
Fresno,2012,23.69
Fresno,2012,26.39
Fresno,2012,166.8
Fresno,2012,308.33
Fresno,2012,78.83
Fresno,2012,124.58
Fresno,2012,111.27
Fresno,2012,52.97
Fresno,2012,71.05
Fresno,2012,169.93
Fresno,2012,263.49
Fresno,2012,81.77
Fresno,2012,130.02
Fresno,2013,287.96
Fresno,2013,559.59
Fresno,2013,177.04
Fresno,2013,241.04
Fresno,2013,42.34
Fresno,2013,121.83
Fresno,2013,21.98
Fresno,2013,42.0
Fresno,2013,162.0
Fresno,2013,288.08
Fresno,2013,88.3
Fresno,2013,134.37
Fresno,2013,88.92
Fresno,2013,48.96
Fresno,2013,54.1
Fresno,2013,146.41
Fresno,2013,229.39
Fresno,2013,88.79
Fresno,2013,147.38
Fresno,2014,413.65
Fresno,2014,774.68
Fresno,2014,208.31
Fresno,2014,372.57
Fresno,2014,72.39
Fresno,2014,104.19
Fresno,2014,28.17
Fresno,2014,36.59
Fresno,2014,175.3
Fresno,2014,285.19
Fresno,2014,111.08
Fresno,2014,164.81
Fresno,2014,94.72
Fresno,2014,39.45
Fresno,2014,93.74
Fresno,2014,136.65
Fresno,2014,187.07
Fresno,2014,106.29
Fresno,2014,146.99
Humboldt,2005,229.68
Humboldt,2005,89.02
Humboldt,2005,212.94
Humboldt,2005,44.06
Humboldt,2005,86.47
Humboldt,2006,84.53
Humboldt,2006,124.69
Humboldt,2006,53.21
Humboldt,2006,79.45
Humboldt,2007,83.06
Humboldt,2007,80.47
Humboldt,2007,136.87
Humboldt,2007,57.67
Humboldt,2007,66.11
Humboldt,2008,55.15
Humboldt,2008,110.84
Humboldt,2008,58.54
Humboldt,2008,71.54
Humboldt,2009,94.99
Humboldt,2009,169.22
Humboldt,2009,59.19
Humboldt,2009,83.09
Humboldt,2010,69.35
Humboldt,2010,112.31
Humboldt,2010,55.33
Humboldt,2010,79.06
Humboldt,2011,61.67
Humboldt,2011,162.07
Humboldt,2011,67.84
Humboldt,2011,68.03
Humboldt,2012,129.15
Humboldt,2012,177.82
Humboldt,2012,55.61
Humboldt,2012,88.29
Humboldt,2013,82.84
Humboldt,2013,71.5
Humboldt,2013,159.76
Humboldt,2013,78.12
Humboldt,2013,69.36
Humboldt,2014,111.51
Humboldt,2014,78.47
Humboldt,2014,52.69
Imperial,2005,88.94
Imperial,2005,271.76
Imperial,2005,98.71
Imperial,2005,187.06
Imperial,2005,274.44
Imperial,2005,139.35
Imperial,2005,180.5
Imperial,2006,822.0
Imperial,2006,123.1
Imperial,2006,241.0
Imperial,2006,100.11
Imperial,2006,186.37
Imperial,2006,274.91
Imperial,2006,135.56
Imperial,2006,181.24
Imperial,2007,603.69
Imperial,2007,884.89
Imperial,2007,130.17
Imperial,2007,248.67
Imperial,2007,94.16
Imperial,2007,185.36
Imperial,2007,272.11
Imperial,2007,112.56
Imperial,2007,122.21
Imperial,2008,100.84
Imperial,2008,246.71
Imperial,2008,102.51
Imperial,2008,169.71
Imperial,2008,273.97
Imperial,2008,127.81
Imperial,2008,136.81
Imperial,2009,98.14
Imperial,2009,256.54
Imperial,2009,103.06
Imperial,2009,215.15
Imperial,2009,373.67
Imperial,2009,130.45
Imperial,2009,131.28
Imperial,2010,155.17
Imperial,2010,291.42
Imperial,2010,106.23
Imperial,2010,235.82
Imperial,2010,131.11
Imperial,2010,174.44
Imperial,2011,104.9
Imperial,2011,177.25
Imperial,2011,98.33
Imperial,2011,182.65
Imperial,2011,278.81
Imperial,2011,103.62
Imperial,2011,132.12
Imperial,2012,64.54
Imperial,2012,160.93
Imperial,2012,97.43
Imperial,2012,172.57
Imperial,2012,237.15
Imperial,2012,461.25
Imperial,2012,289.06
Imperial,2012,451.78
Imperial,2013,73.84
Imperial,2013,178.34
Imperial,2013,93.27
Imperial,2013,163.76
Imperial,2013,276.68
Imperial,2013,301.42
Imperial,2013,234.44
Imperial,2013,184.58
Imperial,2014,65.26
Imperial,2014,154.6
Imperial,2014,114.96
Imperial,2014,212.78
Imperial,2014,133.86
Imperial,2014,148.06
Inyo,2008,526.32
Kern,2005,396.87
Kern,2005,395.14
Kern,2005,140.64
Kern,2005,227.43
Kern,2005,151.37
Kern,2005,53.63
Kern,2005,104.87
Kern,2005,23.07
Kern,2005,29.12
Kern,2005,450.78
Kern,2005,1047.27
Kern,2005,142.75
Kern,2005,297.3
Kern,2005,90.8
Kern,2005,148.83
Kern,2005,45.33
Kern,2005,54.69
Kern,2006,285.55
Kern,2006,452.67
Kern,2006,133.71
Kern,2006,264.07
Kern,2006,40.54
Kern,2006,100.81
Kern,2006,19.11
Kern,2006,30.94
Kern,2006,413.73
Kern,2006,837.84
Kern,2006,135.01
Kern,2006,243.73
Kern,2006,76.57
Kern,2006,162.63
Kern,2006,28.86
Kern,2006,49.0
Kern,2007,372.49
Kern,2007,470.18
Kern,2007,190.7
Kern,2007,216.73
Kern,2007,46.66
Kern,2007,99.53
Kern,2007,22.5
Kern,2007,39.11
Kern,2007,411.2
Kern,2007,724.64
Kern,2007,123.23
Kern,2007,211.73
Kern,2007,88.74
Kern,2007,114.59
Kern,2007,46.14
Kern,2007,49.05
Kern,2008,333.7
Kern,2008,355.93
Kern,2008,171.8
Kern,2008,230.24
Kern,2008,45.9
Kern,2008,96.42
Kern,2008,21.21
Kern,2008,42.7
Kern,2008,221.24
Kern,2008,603.91
Kern,2008,101.86
Kern,2008,170.28
Kern,2008,54.53
Kern,2008,112.41
Kern,2008,34.93
Kern,2008,44.75
Kern,2009,421.39
Kern,2009,482.87
Kern,2009,202.63
Kern,2009,292.7
Kern,2009,43.87
Kern,2009,67.22
Kern,2009,119.12
Kern,2009,31.69
Kern,2009,60.3
Kern,2009,267.24
Kern,2009,362.38
Kern,2009,125.53
Kern,2009,240.13
Kern,2009,93.06
Kern,2009,159.91
Kern,2009,43.86
Kern,2009,68.06
Kern,2010,269.11
Kern,2010,577.68
Kern,2010,231.1
Kern,2010,312.36
Kern,2010,60.94
Kern,2010,130.18
Kern,2010,34.83
Kern,2010,56.85
Kern,2010,153.06
Kern,2010,407.32
Kern,2010,140.61
Kern,2010,222.94
Kern,2010,91.83
Kern,2010,155.12
Kern,2010,62.04
Kern,2010,66.18
Kern,2011,311.49
Kern,2011,471.18
Kern,2011,232.49
Kern,2011,278.36
Kern,2011,63.65
Kern,2011,121.95
Kern,2011,42.17
Kern,2011,71.84
Kern,2011,189.98
Kern,2011,288.07
Kern,2011,122.45
Kern,2011,177.99
Kern,2011,80.18
Kern,2011,133.57
Kern,2011,55.92
Kern,2011,65.72
Kern,2012,379.88
Kern,2012,724.4
Kern,2012,279.13
Kern,2012,332.76
Kern,2012,78.44
Kern,2012,157.03
Kern,2012,46.6
Kern,2012,87.98
Kern,2012,169.35
Kern,2012,79.84
Kern,2012,145.62
Kern,2012,74.56
Kern,2012,154.83
Kern,2012,57.73
Kern,2012,80.37
Kern,2013,320.88
Kern,2013,521.33
Kern,2013,343.74
Kern,2013,349.74
Kern,2013,45.39
Kern,2013,72.57
Kern,2013,143.88
Kern,2013,51.56
Kern,2013,87.82
Kern,2013,149.49
Kern,2013,77.09
Kern,2013,95.72
Kern,2013,67.04
Kern,2013,137.0
Kern,2013,64.13
Kern,2013,70.89
Kern,2014,282.43
Kern,2014,579.56
Kern,2014,304.28
Kern,2014,333.77
Kern,2014,66.59
Kern,2014,134.84
Kern,2014,61.7
Kern,2014,99.81
Kern,2014,171.34
Kern,2014,50.02
Kern,2014,91.51
Kern,2014,74.02
Kern,2014,123.6
Kern,2014,71.5
Kern,2014,89.62
Kings,2005,887.1
Kings,2005,369.28
Kings,2005,352.63
Kings,2005,111.93
Kings,2005,231.46
Kings,2005,32.79
Kings,2005,76.12
Kings,2005,312.1
Kings,2005,85.21
Kings,2005,159.45
Kings,2005,79.3
Kings,2005,75.49
Kings,2006,483.87
Kings,2006,235.3
Kings,2006,336.97
Kings,2006,70.66
Kings,2006,212.59
Kings,2006,49.75
Kings,2006,75.02
Kings,2006,401.34
Kings,2006,80.5
Kings,2006,197.29
Kings,2006,62.57
Kings,2006,71.56
Kings,2007,225.46
Kings,2007,218.2
Kings,2007,117.87
Kings,2007,163.38
Kings,2007,43.12
Kings,2007,69.26
Kings,2007,170.11
Kings,2007,198.3
Kings,2007,66.66
Kings,2007,69.44
Kings,2008,772.2
Kings,2008,189.83
Kings,2008,141.94
Kings,2008,244.27
Kings,2008,54.3
Kings,2008,92.54
Kings,2008,103.72
Kings,2008,276.34
Kings,2008,38.98
Kings,2008,105.14
Kings,2009,676.33
Kings,2009,873.02
Kings,2009,452.05
Kings,2009,402.35
Kings,2009,168.69
Kings,2009,231.19
Kings,2009,68.7
Kings,2009,98.79
Kings,2009,102.17
Kings,2009,236.45
Kings,2009,80.89
Kings,2009,115.08
Kings,2010,862.07
Kings,2010,296.35
Kings,2010,288.24
Kings,2010,163.42
Kings,2010,285.78
Kings,2010,67.17
Kings,2010,75.24
Kings,2010,492.31
Kings,2010,434.78
Kings,2010,200.4
Kings,2010,377.48
Kings,2010,100.67
Kings,2010,122.25
Kings,2011,1102.04
Kings,2011,253.12
Kings,2011,289.15
Kings,2011,153.96
Kings,2011,277.43
Kings,2011,82.83
Kings,2011,94.73
Kings,2011,177.4
Kings,2011,248.67
Kings,2011,118.11
Kings,2011,148.81
Kings,2012,766.13
Kings,2012,272.78
Kings,2012,298.29
Kings,2012,125.27
Kings,2012,268.0
Kings,2012,86.73
Kings,2012,119.54
Kings,2012,183.85
Kings,2012,280.87
Kings,2012,106.95
Kings,2012,173.46
Kings,2013,682.73
Kings,2013,220.09
Kings,2013,294.11
Kings,2013,112.49
Kings,2013,276.23
Kings,2013,81.12
Kings,2013,119.61
Kings,2013,166.49
Kings,2013,247.98
Kings,2013,95.36
Kings,2013,156.25
Kings,2014,200.52
Kings,2014,591.78
Kings,2014,60.21
Kings,2014,261.4
Kings,2014,76.23
Kings,2014,134.97
Kings,2014,131.25
Kings,2014,178.67
Kings,2014,126.04
Kings,2014,188.8
Lake,2005,122.87
Lake,2005,47.62
Lake,2005,82.25
Lake,2006,149.25
Lake,2006,204.84
Lake,2006,57.06
Lake,2006,92.95
Lake,2007,147.33
Lake,2007,72.1
Lake,2007,51.07
Lake,2008,130.23
Lake,2008,49.73
Lake,2008,41.43
Lake,2009,225.99
Lake,2009,60.08
Lake,2009,119.78
Lake,2010,258.62
Lake,2010,74.25
Lake,2010,80.3
Lake,2011,159.07
Lake,2011,149.25
Lake,2011,73.49
Lake,2011,86.58
Lake,2012,206.19
Lake,2012,84.51
Lake,2012,101.06
Lake,2013,197.0
Lake,2013,74.09
Lake,2013,63.69
Lake,2014,123.97
Lake,2014,197.93
